OBJECTID;ID_SYS;Nr punktu;Urządzenie oczyszczające;Emisja odoru;X [PL-1992];Y [PL-1992];Nr arkusza;Data pozyskania;Data weryfikacji;x;y
457;3362;1261_083;nie;nie;575497.790000;240733.730000;974;24.01.2014, 13:44;;575497,79;240733,73
458;3363;1261_082;nie;nie;572131.090000;241410.400000;974;24.01.2014, 13:44;;572131,09;241410,4
459;3364;1261_081;nie;nie;567394.750000;240655.330000;973;24.01.2014, 13:44;;567394,75;240655,33
460;3365;1261_080;nie;nie;567005.040000;247861.620000;973;24.01.2014, 13:44;;567005,04;247861,62
461;3366;1261_079;nie;nie;568172.920000;241203.630000;973;24.01.2014, 13:44;;568172,92;241203,63
462;3367;1261_078;nie;nie;567458.280000;241187.620000;973;24.01.2014, 13:44;;567458,28;241187,62
463;3368;1261_077;nie;nie;575439.850000;240775.930000;974;24.01.2014, 13:44;;575439,85;240775,93
464;3369;1261_076;tak;nie;572529.290000;241340.690000;974;24.01.2014, 13:44;;572529,29;241340,69
465;3370;1261_075;nie;nie;564655.940000;237955.000000;973;24.01.2014, 13:44;;564655,94;237955
466;3371;1261_074;nie;nie;572716.480000;240691.400000;974;24.01.2014, 13:44;;572716,48;240691,4
467;3372;1261_073;nie;nie;578285.440000;245165.110000;974;24.01.2014, 13:44;;578285,44;245165,11
468;3373;1261_072;nie;nie;576919.130000;247248.180000;974;24.01.2014, 13:44;;576919,13;247248,18
469;3374;1261_071;nie;nie;577821.680000;245684.230000;974;24.01.2014, 13:44;;577821,68;245684,23
470;3375;1261_070;nie;nie;575607.330000;240800.000000;974;24.01.2014, 13:44;;575607,33;240800
471;3376;1261_069;nie;nie;574610.510000;249468.570000;974;24.01.2014, 13:44;;574610,51;249468,57
472;3377;1261_068;nie;nie;564315.810000;237745.120000;973;24.01.2014, 13:44;;564315,81;237745,12
473;3378;1261_067;nie;nie;566588.330000;241209.580000;973;24.01.2014, 13:44;;566588,33;241209,58
474;3379;1261_066;nie;nie;567887.000000;244747.840000;973;24.01.2014, 13:44;;567887;244747,84
475;3380;1261_065;nie;nie;569043.930000;242252.820000;973;24.01.2014, 13:44;;569043,93;242252,82
476;3381;1261_064;nie;nie;572405.600000;244581.440000;974;24.01.2014, 13:44;;572405,6;244581,44
477;3382;1261_063;nie;nie;566040.400000;246411.040000;973;24.01.2014, 13:44;;566040,4;246411,04
1089;3400;1261_046;tak;nie;570193.410000;245257.980000;973;24.01.2014, 13:44;;570193,41;245257,98
1090;3401;1261_045;nie;nie;569418.260000;244937.760000;973;24.01.2014, 13:44;;569418,26;244937,76
1091;3402;1261_044;nie;nie;573288.960000;241134.210000;974;24.01.2014, 13:44;;573288,96;241134,21
1092;3403;1261_043;nie;nie;579110.060000;243220.180000;974;24.01.2014, 13:44;;579110,06;243220,18
1093;3404;1261_042;nie;nie;572641.870000;241601.830000;974;24.01.2014, 13:44;;572641,87;241601,83
1094;3405;1261_041;nie;nie;570191.450000;243275.060000;973;24.01.2014, 13:44;;570191,45;243275,06
1095;3406;1261_040;nie;nie;566874.070000;238383.830000;973;24.01.2014, 13:44;;566874,07;238383,83
1096;3407;1261_039;tak;nie;571964.270000;243447.040000;974;24.01.2014, 13:44;;571964,27;243447,04
1097;3408;1261_038;nie;nie;568287.880000;248034.130000;973;24.01.2014, 13:44;;568287,88;248034,13
1098;3409;1261_037;nie;nie;567560.670000;240438.450000;973;24.01.2014, 13:44;;567560,67;240438,45
1099;3410;1261_036;nie;nie;564326.790000;238177.720000;973;24.01.2014, 13:44;;564326,79;238177,72
1100;3411;1261_035;nie;nie;558666.660000;244879.490000;973;24.01.2014, 13:44;;558666,66;244879,49
1101;3412;1261_034;nie;nie;570800.000000;239363.000000;973;24.01.2014, 13:44;;570800;239363
1102;3413;1261_033;nie;nie;568682.240000;242443.600000;973;24.01.2014, 13:44;;568682,24;242443,6
1103;3414;1261_032;nie;nie;579915.810000;246153.300000;974;24.01.2014, 13:44;;579915,81;246153,3
1104;3415;1261_031;tak;nie;578317.410000;246475.720000;974;24.01.2014, 13:44;;578317,41;246475,72
1105;3416;1261_030;nie;nie;571725.090000;241050.970000;974;24.01.2014, 13:44;;571725,09;241050,97
1106;3417;1261_029;tak;nie;570228.870000;240642.450000;973;24.01.2014, 13:44;;570228,87;240642,45
1107;3419;1261_027;tak;nie;573197.760000;241483.830000;974;24.01.2014, 13:44;;573197,76;241483,83
1108;3418;1261_028;tak;nie;575516.050000;240024.120000;974;24.01.2014, 13:44;;575516,05;240024,12
1109;3383;1261_062;tak;nie;566680.000000;239703.570000;973;24.01.2014, 13:44;;566680;239703,57
1110;3384;1261_061;nie;nie;570414.600000;248339.060000;973;24.01.2014, 13:44;;570414,6;248339,06
1111;3385;1261_060;nie;nie;578569.080000;248683.810000;974;24.01.2014, 13:44;;578569,08;248683,81
1112;3386;1261_059;nie;nie;568924.070000;242633.050000;973;24.01.2014, 13:44;;568924,07;242633,05
1113;3387;1261_058;nie;nie;581349.850000;246042.610000;974;24.01.2014, 13:44;;581349,85;246042,61
1114;3388;1261_057;nie;nie;571333.830000;241612.680000;973;24.01.2014, 13:44;;571333,83;241612,68
1115;3390;1261_056;tak;nie;567567.560000;240230.220000;973;24.01.2014, 13:44;;567567,56;240230,22
1116;3391;1261_055;tak;nie;566639.920000;238678.970000;973;24.01.2014, 13:44;;566639,92;238678,97
1117;3392;1261_054;nie;nie;566576.810000;245688.200000;973;24.01.2014, 13:44;;566576,81;245688,2
1118;3393;1261_053;nie;nie;578394.450000;246982.940000;974;24.01.2014, 13:44;;578394,45;246982,94
1119;3394;1261_052;nie;nie;569751.560000;245805.000000;973;24.01.2014, 13:44;;569751,56;245805
1120;3395;1261_051;nie;nie;574929.460000;241708.990000;974;24.01.2014, 13:44;;574929,46;241708,99
1121;3396;1261_050;nie;nie;560278.790000;247480.750000;973;24.01.2014, 13:44;;560278,79;247480,75
1209;3397;1261_049;nie;nie;575075.750000;240777.880000;974;24.01.2014, 13:44;;575075,75;240777,88
1210;3398;1261_048;tak;nie;566632.380000;245659.880000;973;24.01.2014, 13:44;;566632,38;245659,88
1211;3399;1261_047;tak;nie;576911.990000;245974.210000;974;24.01.2014, 13:44;;576911,99;245974,21
1229;3098;1219_002;tak;nie;584261.860000;241802.860000;974;24.01.2014, 13:44;;584261,86;241802,86
1230;3099;1219_003;nie;nie;585443.020000;240641.500000;974;24.01.2014, 13:44;;585443,02;240641,5
1231;3100;1219_004;nie;nie;576143.430000;237004.660000;997;24.01.2014, 13:44;;576143,43;237004,66
1232;3101;1219_005;nie;nie;583657.480000;241418.050000;974;24.01.2014, 13:44;;583657,48;241418,05
1233;3102;1219_006;nie;nie;573087.260000;237810.410000;974;24.01.2014, 13:44;;573087,26;237810,41
1234;3103;1219_007;tak;nie;575343.640000;235871.290000;997;24.01.2014, 13:44;;575343,64;235871,29
1235;3104;1219_008;tak;nie;578577.620000;239390.590000;974;24.01.2014, 13:44;;578577,62;239390,59
1236;3105;1219_009;nie;nie;580580.050000;241801.470000;974;24.01.2014, 13:44;;580580,05;241801,47
1237;3106;1219_010;nie;nie;578746.460000;239438.260000;974;24.01.2014, 13:44;;578746,46;239438,26
1238;3107;1219_011;tak;nie;584238.760000;240704.980000;974;24.01.2014, 13:44;;584238,76;240704,98
1239;3108;1219_012;tak;nie;585202.860000;241295.110000;974;24.01.2014, 13:44;;585202,86;241295,11
1240;3109;1219_013;nie;nie;579011.240000;235892.790000;997;24.01.2014, 13:44;;579011,24;235892,79
1242;3111;1219_015;tak;nie;584032.830000;241716.270000;974;24.01.2014, 13:44;;584032,83;241716,27
1244;3113;1219_017;tak;nie;585560.330000;241810.830000;974;24.01.2014, 13:44;;585560,33;241810,83
1245;3114;1219_018;nie;nie;585548.470000;240459.550000;974;24.01.2014, 13:44;;585548,47;240459,55
1246;3115;1219_019;tak;nie;580469.460000;238048.420000;974;24.01.2014, 13:44;;580469,46;238048,42
1247;3116;1219_020;tak;nie;576449.240000;236902.520000;997;24.01.2014, 13:44;;576449,24;236902,52
1339;3420;1261_026;tak;nie;577708.310000;247455.270000;974;24.01.2014, 13:44;;577708,31;247455,27
1340;3421;1261_025;tak;nie;578910.260000;243439.360000;974;24.01.2014, 13:44;;578910,26;243439,36
1341;3422;1261_024;nie;nie;569282.030000;244531.280000;973;24.01.2014, 13:44;;569282,03;244531,28
1342;3423;1261_023;tak;nie;573043.240000;245260.760000;974;24.01.2014, 13:44;;573043,24;245260,76
1343;3424;1261_022;nie;nie;569736.080000;244613.460000;973;24.01.2014, 13:44;;569736,08;244613,46
1344;3425;1261_021;nie;nie;574059.210000;239988.880000;974;24.01.2014, 13:44;;574059,21;239988,88
1345;3426;1261_020;nie;nie;577124.710000;246753.320000;974;24.01.2014, 13:44;;577124,71;246753,32
1346;3427;1261_019;nie;nie;575498.320000;240944.070000;974;24.01.2014, 13:44;;575498,32;240944,07
1347;3428;1261_018;nie;nie;581014.100000;246014.560000;974;24.01.2014, 13:44;;581014,1;246014,56
1348;3429;1261_017;nie;nie;564555.550000;238272.720000;973;24.01.2014, 13:44;;564555,55;238272,72
1349;3430;1261_016;nie;nie;566979.210000;241233.320000;973;24.01.2014, 13:44;;566979,21;241233,32
1350;3431;1261_015;nie;nie;570174.810000;243127.570000;973;24.01.2014, 13:44;;570174,81;243127,57
1351;3432;1261_014;nie;nie;566875.160000;240979.260000;973;24.01.2014, 13:44;;566875,16;240979,26
1352;3433;1261_013;nie;nie;571731.470000;241148.480000;974;24.01.2014, 13:44;;571731,47;241148,48
1584;3135;1219_038;nie;nie;583952.290000;241676.720000;974;24.01.2014, 13:44;;583952,29;241676,72
1585;3136;1219_039;nie;nie;584236.840000;242011.820000;974;24.01.2014, 13:44;;584236,84;242011,82
1586;3137;1219_040;nie;nie;585274.070000;240947.140000;974;24.01.2014, 13:44;;585274,07;240947,14
1587;3138;1219_041;nie;nie;586377.480000;241937.400000;974;24.01.2014, 13:44;;586377,48;241937,4
1588;3139;1219_042;nie;nie;582744.150000;238345.940000;974;24.01.2014, 13:44;;582744,15;238345,94
1668;3434;1261_012;nie;nie;564311.620000;246706.000000;973;24.01.2014, 13:44;;564311,62;246706
1669;3436;1261_010;nie;nie;568887.690000;240336.730000;973;24.01.2014, 13:44;;568887,69;240336,73
1670;3437;1261_009;nie;nie;561226.080000;246386.220000;973;24.01.2014, 13:44;;561226,08;246386,22
1671;3438;1261_008;nie;nie;572234.240000;241694.360000;974;24.01.2014, 13:44;;572234,24;241694,36
1672;3439;1261_007;nie;nie;572039.940000;247357.550000;974;24.01.2014, 13:44;;572039,94;247357,55
1673;3440;1261_006;nie;nie;572598.090000;247204.010000;974;24.01.2014, 13:44;;572598,09;247204,01
1766;3117;1219_021;tak;nie;576832.410000;237004.560000;997;24.01.2014, 13:44;;576832,41;237004,56
1767;3118;1219_022;tak;nie;576461.600000;236332.920000;997;24.01.2014, 13:44;;576461,6;236332,92
1768;3119;1219_023;tak;nie;585591.070000;240646.300000;974;24.01.2014, 13:44;;585591,07;240646,3
1769;3120;1219_024;nie;tak;585613.950000;240625.660000;974;24.01.2014, 13:44;;585613,95;240625,66
1770;3122;1219_025;tak;nie;585182.840000;239791.040000;974;24.01.2014, 13:44;;585182,84;239791,04
1771;3123;1219_026;nie;nie;584516.070000;241707.160000;974;24.01.2014, 13:44;;584516,07;241707,16
1773;3125;1219_028;nie;nie;584357.860000;241703.970000;974;24.01.2014, 13:44;;584357,86;241703,97
1775;3127;1219_030;nie;nie;584994.430000;241787.680000;974;24.01.2014, 13:44;;584994,43;241787,68
1776;3128;1219_031;nie;nie;584346.400000;241608.200000;974;24.01.2014, 13:44;;584346,4;241608,2
1777;3129;1219_032;nie;nie;574792.510000;235822.180000;997;24.01.2014, 13:44;;574792,51;235822,18
1778;3130;1219_033;nie;nie;573599.900000;237142.450000;997;24.01.2014, 13:44;;573599,9;237142,45
1779;3131;1219_034;nie;nie;575479.720000;234964.250000;997;24.01.2014, 13:44;;575479,72;234964,25
1780;3132;1219_035;nie;nie;577273.750000;238471.380000;974;24.01.2014, 13:44;;577273,75;238471,38
1781;3133;1219_036;nie;nie;577116.070000;238131.690000;974;24.01.2014, 13:44;;577116,07;238131,69
1782;3134;1219_037;nie;nie;577097.980000;232760.840000;997;24.01.2014, 13:44;;577097,98;232760,84
1886;3441;1261_005;nie;nie;574635.440000;246949.260000;974;24.01.2014, 13:44;;574635,44;246949,26
1887;3442;1261_004;nie;nie;569511.370000;242406.120000;973;24.01.2014, 13:44;;569511,37;242406,12
1888;3443;1261_003;nie;nie;561848.750000;244660.170000;973;24.01.2014, 13:44;;561848,75;244660,17
1889;3444;1261_002;nie;nie;576020.990000;247414.640000;974;24.01.2014, 13:44;;576020,99;247414,64
1890;3445;1261_001;nie;nie;566328.110000;246116.220000;973;24.01.2014, 13:44;;566328,11;246116,22
2479;2906;1214_004;brak danych;brak danych;587419.010000;250960.690000;974;24.01.2014, 13:44;;587419,01;250960,69
3009;3328;1206_034;nie;nie;555595.770000;243700.220000;973;24.01.2014, 13:44;;555595,77;243700,22
3015;3334;1206_040;tak;nie;557715.900000;234780.330000;996;24.01.2014, 13:44;;557715,9;234780,33
3775;3295;1206_001;nie;nie;558296.310000;234117.620000;996;24.01.2014, 13:44;;558296,31;234117,62
3776;3296;1206_002;nie;nie;558371.190000;235223.590000;996;24.01.2014, 13:44;;558371,19;235223,59
4097;3297;1206_003;nie;nie;558906.710000;235177.280000;996;24.01.2014, 13:44;;558906,71;235177,28
4098;3298;1206_004;nie;nie;558256.000000;234227.000000;996;24.01.2014, 13:44;;558256;234227
4099;3299;1206_005;nie;nie;559660.770000;235278.880000;996;24.01.2014, 13:44;;559660,77;235278,88
4100;3300;1206_006;nie;nie;557039.010000;233824.470000;996;24.01.2014, 13:44;;557039,01;233824,47
4101;3301;1206_007;nie;nie;557018.370000;233447.430000;996;24.01.2014, 13:44;;557018,37;233447,43
4102;3302;1206_008;nie;nie;556896.930000;233402.450000;996;24.01.2014, 13:44;;556896,93;233402,45
4103;3303;1206_009;nie;nie;557020.220000;233569.340000;996;24.01.2014, 13:44;;557020,22;233569,34
4104;3304;1206_010;nie;nie;557447.000000;233577.740000;996;24.01.2014, 13:44;;557447;233577,74
4105;3305;1206_011;nie;nie;558234.220000;235364.400000;996;24.01.2014, 13:44;;558234,22;235364,4
4106;3306;1206_012;nie;nie;557383.980000;233974.140000;996;24.01.2014, 13:44;;557383,98;233974,14
4107;3307;1206_013;tak;nie;558249.430000;234167.550000;996;24.01.2014, 13:44;;558249,43;234167,55
4178;3308;1206_014;nie;nie;558440.510000;234719.090000;996;24.01.2014, 13:44;;558440,51;234719,09
4179;3309;1206_015;nie;nie;555689.000000;233102.000000;996;24.01.2014, 13:44;;555689;233102
4180;3310;1206_016;nie;nie;559565.390000;235507.620000;996;24.01.2014, 13:44;;559565,39;235507,62
4184;3314;1206_020;nie;nie;573939.990000;250978.840000;974;24.01.2014, 13:44;23.07.2014, 10:42;573939,99;250978,84
4539;3325;1206_031;nie;nie;555398.010000;250447.290000;973;24.01.2014, 13:44;;555398,01;250447,29
4540;3326;1206_032;nie;nie;557559.520000;244864.510000;973;24.01.2014, 13:44;23.07.2014, 10:47;557559,52;244864,51
4541;3327;1206_033;nie;nie;559070.550000;249511.270000;973;24.01.2014, 13:44;;559070,55;249511,27
5120;3435;1261_011;nie;nie;575133.430000;241611.550000;974;24.01.2014, 13:44;;575133,43;241611,55
6695;8423;1206_044;nie;nie;559202.710000;249356.680000;;24.01.2014, 13:00;;559202,71;249356,68
6696;8420;1206_042;nie;nie;559026.610000;235125.660000;;24.01.2014, 13:00;;559026,61;235125,66
6780;8418;1206_041;tak;nie;557422.330000;233588.000000;;24.01.2014, 13:00;;557422,33;233588
6783;8422;1206_043;nie;nie;555826.810000;237527.110000;;24.01.2014, 13:00;;555826,81;237527,11
